YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2014,1,5,4,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,10.3,3.1,6.7,4.82,61.0,0.0,98.62,1.97,342.21
2014,1,5,5,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,10.88,2.65,6.76,4.7,56.88,0.0,98.63,1.62,320.09
2014,1,5,6,6.48,4.02,0.27,0.09,89.02,1.45,1.45,0.18,0.0,0.0,10.35,2.63,6.49,4.7,58.81,0.0,98.69,1.8,299.9
2014,1,5,7,57.5,68.02,0.23,0.12,79.64,23.2,26.6,2.62,0.02,0.08,11.75,4.9,8.33,5.49,62.94,0.0,98.76,1.74,294.38
2014,1,5,8,147.27,184.88,0.3,0.12,69.24,59.05,70.52,6.59,0.08,0.38,14.58,4.57,9.58,5.37,51.12,0.0,98.83,2.16,278.95
2014,1,5,9,240.61,307.67,0.34,0.12,60.5,97.75,118.33,10.88,0.19,0.92,17.05,4.73,10.89,5.37,44.0,0.0,98.86,2.64,257.86
2014,1,5,10,335.5,406.6,0.41,0.17,54.23,131.98,158.05,14.73,0.3,1.5,19.69,4.56,12.12,5.31,36.81,0.0,98.81,3.26,253.7
2014,1,5,11,505.12,524.17,0.58,0.12,51.38,209.08,215.17,24.44,0.55,2.83,21.22,4.82,13.01,5.43,34.12,0.0,98.72,3.49,249.13
2014,1,5,12,495.66,492.05,0.58,0.17,52.5,197.77,198.88,22.62,0.48,2.35,21.83,5.3,13.56,5.62,34.0,0.0,98.62,3.62,249.26
2014,1,5,13,373.89,397.95,0.49,0.12,57.34,148.88,158.02,16.82,0.32,1.6,21.83,5.75,13.8,5.8,35.06,0.0,98.56,3.75,251.53
2014,1,5,14,281.68,305.52,0.48,0.12,65.1,113.85,122.55,13.11,0.2,0.95,21.2,6.33,13.76,6.04,37.94,0.0,98.51,3.73,259.02
2014,1,5,15,151.99,156.92,0.41,0.12,74.85,59.38,61.75,6.98,0.05,0.27,19.55,8.31,13.93,6.96,48.25,0.0,98.48,2.77,265.32
