YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLRSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2014,1,3,17,16.06,0.39,13.08,0.12,88.33,4.8,4.83,0.6,0.0,0.0,7.76,1.93,4.85,5.62,69.38,0.0,81.1,0.49,271.82
2014,1,3,18,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.57,0.97,3.77,5.25,70.12,0.0,81.14,1.11,6.07
2014,1,3,19,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.08,0.31,3.19,5.0,69.44,0.0,81.17,1.46,14.56
2014,1,3,20,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.19,-0.71,2.74,4.7,64.62,0.0,81.18,1.36,10.28
2014,1,3,21,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.42,-1.74,2.34,4.39,59.62,0.0,81.17,1.17,359.24
2014,1,3,22,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.21,-2.72,1.74,4.15,56.88,0.0,81.16,1.12,345.09
2014,1,3,23,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.24,-3.7,1.26,3.91,53.5,0.0,81.13,1.15,340.58
2014,1,4,0,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,6.06,-4.52,0.77,3.72,51.31,0.0,81.1,1.18,341.09
2014,1,4,1,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.87,-5.29,0.29,3.48,49.19,0.0,81.07,1.18,345.87
2014,1,4,2,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.52,-6.04,-0.26,3.3,47.5,0.0,81.03,1.23,351.2
2014,1,4,3,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.53,-6.98,-0.73,3.11,44.25,0.0,80.99,1.33,353.59
2014,1,4,4,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.27,-7.79,-1.26,2.87,42.31,0.0,80.97,1.32,355.94
2014,1,4,5,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.32,-8.44,-1.56,2.75,39.69,0.0,80.99,1.23,351.97
2014,1,4,6,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.29,-9.21,-1.96,2.56,37.69,0.0,81.05,1.17,349.59
2014,1,4,7,41.35,0.47,38.65,0.14,86.41,13.98,14.38,1.55,0.01,0.02,5.63,-9.02,-1.7,2.62,37.25,0.0,81.11,1.06,349.77
2014,1,4,8,213.82,0.6,235.5,0.14,75.43,87.45,97.95,9.55,0.07,0.35,7.98,-4.01,1.98,3.91,47.69,0.0,81.17,0.81,348.37
2014,1,4,9,402.24,0.69,433.48,0.1,65.4,169.1,184.12,20.24,0.3,1.45,10.81,-3.86,3.48,3.72,37.44,0.0,81.25,0.93,282.63
2014,1,4,10,559.05,0.73,588.05,0.1,57.28,236.48,251.05,29.72,0.59,2.92,12.4,-3.35,4.53,3.91,35.38,0.0,81.27,1.91,243.85
2014,1,4,11,637.45,0.73,682.67,0.11,51.98,269.73,291.88,34.59,0.8,3.95,13.17,-2.55,5.31,4.15,35.62,0.0,81.22,2.54,235.77
2014,1,4,12,715.22,0.8,733.45,0.1,50.42,287.92,296.35,39.53,1.02,5.17,13.39,-1.78,5.8,4.39,37.06,0.0,81.16,2.91,233.62
2014,1,4,13,640.03,0.76,662.4,0.09,52.93,263.2,273.67,34.38,0.8,4.02,13.27,-1.29,5.99,4.52,38.69,0.0,81.1,2.86,232.0
2014,1,4,14,486.91,0.67,525.75,0.09,58.98,204.4,223.35,24.95,0.46,2.27,12.84,-1.04,5.9,4.64,40.56,0.0,81.05,2.78,232.55
2014,1,4,15,343.73,0.64,365.95,0.08,67.63,143.1,154.08,16.52,0.21,1.05,11.95,-0.87,5.55,4.7,43.62,0.0,81.03,2.59,238.32
2014,1,4,16,169.02,0.58,171.45,0.14,78.02,67.67,69.9,7.38,0.04,0.2,10.17,1.07,5.62,5.49,57.25,0.0,81.0,1.71,240.97
2014,1,4,17,17.29,0.4,14.4,0.13,88.25,5.33,5.35,0.66,0.0,0.02,7.29,0.19,3.74,5.0,63.75,0.0,81.01,0.99,282.28
